iv_malla_modi_id;ndvi_i_primavera_pendiente;evi_i_verano_pendiente;evi_i_otono_tendencia;evi_i_verano_tau;evi_i_primavera_tendencia;ndvi_i_otono_tau;ndvi_i_verano_tau;ndvi_i_verano_pendiente;ndvi_i_invierno_tendencia;ndvi_i_verano_tendencia;evi_i_verano_tendencia;evi_i_primavera_tau;evi_i_otono_pendiente;ndvi_i_primavera_tau;evi_i_invierno_tendencia;ndvi_i_otono_tendencia;evi_i_invierno_tau;evi_i_otono_tau;ndvi_i_primavera_tendencia;ndvi_i_invierno_pendiente;evi_i_invierno_pendiente;evi_i_primavera_pendiente;ndvi_i_otono_pendiente;ndvi_i_invierno_tau
171956;58.75;229.125;0;0.363;0;-0.165;0.473;414.75;0;0;0;0.055;-10.333;0.033;0;0;-0.011;-0.033;0;-247;-4.5;51.833;-165.667;-0.099
171955;-85.333;209;0;0.516;0;0.187;0.407;377.667;0;0;0;-0.275;111.667;-0.143;0;0;-0.165;0.099;0;-182.5;-120.818;-121.75;156.571;-0.099
171954;-65;240;0;0.451;0;0.209;0.538;387.143;0;0;0;-0.209;39.625;-0.055;0;0;0.055;0.033;0;-33.714;50;-89;275;-0.033
172632;-188.5;165.4;0;0.231;0;0.033;0.319;382.2;0;0;0;-0.495;-8.6;-0.209;0;0;-0.121;-0.011;0;-169.375;-86;-289.2;58.667;-0.099
171957;-56.091;254.857;0;0.451;0;-0.099;0.451;320.375;0;0;0;0.077;-42.556;-0.011;0;0;0.033;-0.055;0;-116.2;21;44.333;-123.2;-0.099
168554;-146.667;405;0;0.495;0;0.033;0.451;544.6;0;0;0;-0.231;156.182;-0.165;0;0;0.209;0.253;0;-319.8;110.333;-138.143;20.125;-0.165
168551;-142;163.667;0;0.341;0;0.011;0.385;361.857;0;0;0;-0.033;34.5;-0.121;0;0;0.143;0.055;0;-46;135.385;-22.5;53.667;-0.077
168553;-89.4;315;0;0.363;0;-0.143;0.473;465;0;0;0;-0.099;48.545;-0.143;0;0;0.055;0.165;0;-303.333;56.857;-60.5;-144.727;-0.143
173986;-139;291.25;0;0.451;0;0.011;0.473;520;0;0;0;-0.077;-57.333;-0.033;0;0;0.099;-0.033;0;7.667;110.4;-132.583;15.667;0.011
173984;-125.5;220.5;0;0.407;0;0.099;0.495;411.6;0;0;0;-0.121;147.1;-0.077;0;0;0.187;0.231;0;24.2;144.25;-100.429;135.667;0.033
173985;-70.417;222.1;0;0.473;0;0.011;0.462;364.333;0;0;0;-0.143;21;-0.033;0;0;0.121;0.033;0;17;75.875;-133.333;7.333;0.055
173982;-75;188.778;0;0.473;0;0.143;0.516;275;0;0;0;-0.055;175.857;-0.077;0;0;0.011;0.297;0;-70.833;37.5;-44.125;126;-0.011
